First line of second CSV;;;;;;;;;;;;;;;;;;
Date/Time Generated;2/20/19 4:39 AM;;;;;;;;;;;;;;;;;
Report Time Zone;Europe/Paris;;;;;;;;;;;;;;;;;
Account ID;743372;;;;;;;;;;;;;;;;;
Date Range;2/19/19 - 2/19/19;;;;;;;;;;;;;;;;;
Advertiser;Equals:FR Orange Internet (8364571);;;;;;;;;;;;;;;;;
Advertiser;Equals:FR Orange Mobile (8365738);;;;;;;;;;;;;;;;;
Advertiser;Equals:FR Sosh Internet (8364841);;;;;;;;;;;;;;;;;
Advertiser;Equals:FR Sosh Mobile (8364118);;;;;;;;;;;;;;;;;
MRC Accredited Metrics;None;;;;;;;;;;;;;;;;;
Report Fields;;;;;;;;;;;;;;;;;;
Header of second CSV at line 12;Placement;Date;DBM Cost (Account Currency);OR-Mobile_2018-01_Sales : or_mobile_cv_acquisition-terminal _2018-01: Total Conversions;OR-Mobile_2018-01_Sales : or_mobile_cv_fidelisation-terminal_2018-01: Total Conversions;OR-Mobile_2018-01_Sales : or_mobile_cv_acquisition-forfait-multi-ligne_2018-01: Total Conversions;OR-Mobile_2018-01_Sales : or_mobile_cv_acquisition-forfait_2018-01: Total Conversions;SH-Mobile_2018-01_Sales : sh_mobile_cv_acquisition-offre-mobile_2018-01: Total Conversions;SH-Mobile_2018-01_Sales : sh_mobile_cv_acquisition-terminal _2018-01: Total Conversions;OR-FAI_2018-01_Sales : or_fai_cv_confirmation-acquisition-internet-fibre_2018-01: Total Conversions;OR-FAI_2018-01_Sales : or_fai_cv_confirmation-migration-xdsl-vers-fibre_2018-01: Total Conversions;OR-Open_2018-01_Sales : or_open_cv_acquisition-open-fibre_2018-05: Total Conversions;OR-Open_2018-01_Sales : or_open_cv_migration-open-xdsl-vers-fibre_2018-01: Total Conversions;OR-FAI_2018-01_Sales : or_fai_cv_confirmation-acquisition-internet-xdsl_2018-01: Total Conversions;OR-Open_2018-01_Sales : or_open_cv_acquisition-open-xdsl_2018-01: Total Conversions;SH-Mobile-Livebox_2018-01_Sales : sh_mobile-livebox_cv_acq-offre-convergente_2018-01: Total Conversions;SH-Box-Internet_2018-08_Sales : sh_box-internet_cv_confirmation-acquisition-internet-adsl_2018-08: Total Conversions;SH-Box-Internet_2018-08_Sales : sh_box-internet_cv_confirmation-acquisition-internet-fibre_2018-10: Total Conversions
FR Orange Internet;22183140_tradelab_odr_pcc_multi-format-native1_cpm_mob_dis-nat_rtg_npa_retargeting_dbm_1st-tms_or-fai_kpi1-acquisition-bb;19/02/2019;4.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22183140_tradelab_odr_pcc_multi-format-native1_cpm_web_dis-nat_rtg_npa_retargeting_dbm_1st-tms_or-fai_kpi1-acquisition-bb;19/02/2019;0.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22183140_tradelab_odr_pcc_multi-format-native2_cpm_mob_dis-nat_rtg_npa_retargeting_dbm_1st-tms_or-fai_kpi1-acquisition-bb;19/02/2019;5.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22183140_tradelab_odr_pcc_multi-format-native2_cpm_web_dis-nat_rtg_npa_retargeting_dbm_1st-tms_or-fai_kpi1-acquisition-bb;19/02/2019;4.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22183140_tradelab_odr_pcc_multi-format-native3_cpm_mob_dis-nat_rtg_npa_retargeting_dbm_1st-tms_or-fai_kpi1-acquisition-bb;19/02/2019;4.48;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22183140_tradelab_odr_pcc_multi-format-native3_cpm_web_dis-nat_rtg_npa_retargeting_dbm_1st-tms_or-fai_kpi1-acquisition-bb;19/02/2019;4.62;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22183140_tradelab_odr_std_120x600_cpm_web_dis-iab_rtg_npa_retargeting_dbm_1st-tms__or-fai_kpi1-acquisition-bb;19/02/2019;1.54;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22183140_tradelab_odr_std_160x600_cpm_web_dis-iab_rtg_npa_retargeting_dbm_1st-tms__or-fai_kpi1-acquisition-bb;19/02/2019;10.06;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00
FR Orange Internet;22183140_tradelab_odr_std_1800x1000_cpm_web_dis-eve_rtg_npa_retargeting_dbm_1st-tms__or-fai_kpi1-acquisition-bb;19/02/2019;10.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
FR Orange Internet;22183140_tradelab_odr_std_300x250_cpm_mob_dis-iab_rtg_npa_retargeting_dbm_1st-tms__or-fai_kpi1-acquisition-bb;19/02/2019;27.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00
