# ----------------------------------------
# Toutes les données du site Web
# Pages d'événement
# 20190103-20190109
# ----------------------------------------

Libellé d'événement,Minute,Nombre total d'événements,Événements uniques,Valeur de l'événement,Valeur moyenne
"code:RF_ERR1,email:debug.tradelab@gmail.com",05,43,8,0,"0,00"
"code:RF_ERR1,email:debug.tradelab@gmail.com",20,26,3,0,"0,00"
"code:RF_ERR1,email:debug.tradelab@gmail.com",50,25,1,0,"0,00"
"code:RF_ERR1,email:debug.tradelab@gmail.com",15,21,1,0,"0,00"
"code:RF_ERR1,email:debug.tradelab@gmail.com",10,19,0,0,"0,00"
"code:RF_ERR1,email:debug.tradelab@gmail.com",00,7,1,0,"0,00"
"code:RF_ERR1,email:debug.tradelab+59b210f119ab12817aaf44df4197aad4@gmail.com",05,7,5,0,"0,00"
"code:RF_ERR1,email:debug.tradelab@gmail.com",30,6,0,0,"0,00"
"code:RF_ERR1,email:debug.tradelab@gmail.com",55,5,1,0,"0,00"
"code:RF_ERR1,email:debug.tradelab+59b210f119ab12817aaf44df4197aad4@gmail.com",10,5,2,0,"0,00"
"code:RF_ERR1,email:debug.tradelab+c7237bbe635a59a51c88773a8a90f7a5@gmail.com",05,5,5,0,"0,00"
"code:RF_ERR1,email:debug.tradelab@gmail.com",25,4,0,0,"0,00"
"code:RF_ERR1,email:debug.tradelab+1a6e19348ece5c9fffff4ccf8dc0c654@gmail.com",55,4,4,0,"0,00"
"code:RF_ERR1,email:debug.tradelab+2d978ce430aa2e3ac8814ce5764cca3d@gmail.com",05,4,4,0,"0,00"
"code:RF_ERR1,email:debug.tradelab+d5750b4a400699aad7d0bb7d94e8f87b@gmail.com",10,4,4,0,"0,00"
"code:RF_ERR1,email:debug.tradelab+1a6e19348ece5c9fffff4ccf8dc0c654@gmail.com",50,3,3,0,"0,00"
"code:RF_ERR1,email:debug.tradelab+2d978ce430aa2e3ac8814ce5764cca3d@gmail.com",10,3,3,0,"0,00"
"code:RF_ERR1,email:debug.tradelab+5c3c7ee14bc02a0cb2f52a2be56a8c8d@gmail.com",25,3,0,0,"0,00"
"code:RF_ERR1,email:debug.tradelab+5c3c7ee14bc02a0cb2f52a2be56a8c8d@gmail.com",30,3,2,0,"0,00"
"code:RF_ERR1,email:debug.tradelab+7d3eeeaca3807977522eb7ff73db5361@gmail.com",05,3,3,0,"0,00"
"code:RF_ERR1,email:debug.tradelab+d5750b4a400699aad7d0bb7d94e8f87b@gmail.com",05,3,3,0,"0,00"
"code:RF_ERR1,email:debug.tradelab+5c3c7ee14bc02a0cb2f52a2be56a8c8d@gmail.com",05,2,2,0,"0,00"
"code:RF_ERR1,email:debug.tradelab+5c3c7ee14bc02a0cb2f52a2be56a8c8d@gmail.com",10,2,0,0,"0,00"
"code:RF_ERR1,email:debug.tradelab+5c3c7ee14bc02a0cb2f52a2be56a8c8d@gmail.com",15,2,2,0,"0,00"
"code:RF_ERR1,email:debug.tradelab+7d3eeeaca3807977522eb7ff73db5361@gmail.com",10,2,2,0,"0,00"
"code:RF_ERR1,email:debug.tradelab+7d3eeeaca3807977522eb7ff73db5361@gmail.com",15,2,2,0,"0,00"
"code:RF_ERR1,email:debug.tradelab+c7237bbe635a59a51c88773a8a90f7a5@gmail.com",10,2,2,0,"0,00"
"code:RF_ERR1,email:debug.tradelab@gmail.com",49,1,1,0,"0,00"
"code:RF_ERR1,email:debug.tradelab@gmail.com",01,1,0,0,"0,00"
"code:RF_ERR1,email:debug.tradelab@gmail.com",44,1,1,0,"0,00"
"code:RF_ERR1,email:debug.tradelab@gmail.com",45,1,1,0,"0,00"
"code:RF_ERR1,email:debug.tradelab+59b210f119ab12817aaf44df4197aad4@gmail.com",15,1,0,0,"0,00"
"code:RF_ERR1,email:debug.tradelab+59b210f119ab12817aaf44df4197aad4@gmail.com",20,1,0,0,"0,00"
"code:RF_ERR1,email:debug.tradelab+5c3c7ee14bc02a0cb2f52a2be56a8c8d@gmail.com",20,1,1,0,"0,00"
"code:RF_ERR1,email:debug.tradelab+5c3c7ee14bc02a0cb2f52a2be56a8c8d@gmail.com",50,1,0,0,"0,00"
"code:RF_ERR1,email:debug.tradelab+eac2b4652e5b7c1a3f39e958ce264197@gmail.com",44,1,1,0,"0,00"
"code:RF_ERR1,email:debug.tradelab+eac2b4652e5b7c1a3f39e958ce264197@gmail.com",49,1,1,0,"0,00"
"code:RF_ERR1,email:debug.tradelab+eac2b4652e5b7c1a3f39e958ce264197@gmail.com",55,1,1,0,"0,00"
